Name,Price,Descriptions
Брюки льняные укороченные ELIS,"
                6 999 ₽            ","Брюки прямого силуэта из мягкого смесового джерси на основе натуральных тканей: хлопка и льна стильного оливково-зеленого оттенка. Укороченная модель средней посадки, с классическими стрелками, двумя косыми прорезными карманами по бокам и удобной застёжкой на молнию и пуговицу. Хорошую посадку обеспечивают защипы спереди. Для дополнительного комфорта пояс сзади оформлен резинкой. Идеальный выбор для делового гардероба. Практичный оттенок позволяет подобрать верх в любом стиле. Составят однотонный тотал-лук с жакетом из того же материала."
Легкий джемпер фактурной вязки ELIS,"
                4 999 ₽            ","Объемный вязаный джемпер из фактурного трикотажа на основе прочного хлопка оливкового оттенка. Модель-оверсайз свободного полуприлегающего силуэта, с манжетами-резинками по низу. Линия плеча приспущена, что подчеркивает женственность силуэта. Широкая пройма короткого рукава позволяет сочетать джемпер с белыми рубашками, водолазками и платьями. Модель отлично дополнит повседневный гардероб и подойдет для офисного дресс-кода."
Жакет рубашечного кроя с ремнем ELIS,"
                7 999 ₽            ","Актуальный жакет рубашечного кроя в стиле сафари песочного оттенка. Выполнен из дышащего миксового материла, на основе мягкого хлопка, с добавлением прочных поливолокон и эластичного спандекса. Модель прямого силуэта, со стояче-отложным воротником, чуть спущенной линией плеча, втачными рукавами с отворотами, центральной застёжкой на планку с пуговицами и накладными карманами, декорированными монилью - трендом коллекции. Линию талии можно подчеркнуть тонким контрастным ремешком с монилью. Составит однотонный тотал-лук с брюками из того же материала."
Топ базовый из трикотажа LALIS,"
                2 999 ₽            ","Минималистичный топ прямого облегающего силуэта с фигурным круглым вырезом в насыщенном темно-синем цвете. Модель из эластичного материала на основе хлопка и модала, на широких цельнокроеных бретелях, без застежки. Базовая вещь гардероба. Универсально подходит под пиджаки, жакеты и брючные костюмы, а также сочетается со свободными рубашками и джинсами."
Брюки прямые песочного оттенка ELIS,"
                6 499 ₽            ","Лёгкие прямые брюки песочного оттенка. Выполнены из дышащего миксового материла, на основе мягкого хлопка, с добавлением прочных поливолокон и эластичного спандекса. Модель прямого силуэта, с притачным поясом со шлевками под ремень и французскими карманами. Графичные стрелки выстраивают вертикаль, визуально вытягивающую силуэт. Составят однотонный тотал-лук с жакетом рубашечного кроя из того же материала."
Платье-миди с V-вырезом ELIS,"
                7 999 ₽            ","Оригинальное платье-миди приглушенного тёмно-зеленого оттенка из легкой ткани с краш-эффектом. Лёгкая дышащая вискоза приятна к коже, нейлон не позволит материалу деформироваться со временем, а натуральные льняные волокна добавляют текстуры. Модель А-силуэта, с V-образным вырезом, рукавами-фонариками и разрезом спереди. Сборки на плечах, манжетах и под грудью формируют нежные драпировки и создают интересный силуэт. Образ можно дополнить открытыми босоножками, мюлями или классическими лодочками."
Платье-миди из вискозы с принтом ELIS,"
                7 999 ₽            ","Эффектное платье-миди с анималистчиным принтом. Выполнено из лёгкого скользящего полотна на основе натуральной дышащей вискозы премиального качества. Модель А-силуэта, с V-образным вырезом и рукавами-фонариками. Сборки на плечах, манжетах и под грудью формируют нежные драпировки и создают интересный силуэт. Образ можно дополнить открытыми босоножками, мюлями или классическими лодочками."
Вязаный топ желтый ELIS,"
                3 499 ₽            ","Фактурный вязаный топ насыщенного желтого цвета фирменной ажурной вязки. Выполнен из легкой пряжи премиального качества на основе мягкого органического хлопка. Модель полуприлегающего силуэта, среднего объёма, с V-образным вырезом горловины и комфортной резинкой по низу изделия. Лаконичный топ можно дополнить юбкой-миди, брюками или джинсами."
Юбка А-силуэта из вискозы LALIS,"
                5 499 ₽            ","Лёгкая юбка-миди в фиолетовых тонах с авторским принтом с флористическим мотивом. Выполнена из струящегося дышащего вискозного полотна премиального качества. Модель А-силуэта, с комфортным поясом-резинкой и разрезом в боковом шве. Образ можно дополнить однотонным базовым топом или лёгкой блузой. Составит эффектный летний тотал лук с блузой из этой же коллекции."
Юбка А-силуэта с принтом ELIS,"
                4 999 ₽            ","Эффектная юбка с анималистичным принтом в бежево-коричневой гамме. Выполнена из струящегося вискозного полотна премиального качества. Модель A-силуэта, с обтачным поясом, неглубоким разрезом на подоле и изящным рельефом спереди. Элегантная вещь станет основой ваших образов в стиле кэжуал. Юбку можно дополнить фактурным топом или легкой блузой."
Вязаный топ зеленый ELIS,"
                3 499 ₽            ","Фактурный вязаный топ актуального болотного оттенка фирменной ажурной вязки. Выполнен из легкой пряжи премиального качества на основе мягкого хлопка. Модель полуприлегающего силуэта, среднего объёма, с V-образным вырезом горловины и комфортной резинкой по низу изделия. Лаконичный топ можно дополнить юбкой-миди, брюками или джинсами."
Юбка-миди льняная с разрезом ELIS,"
                6 499 ₽            ","Лёгкая юбка-миди с эффектным разрезом натурального серо-бежевого оттенка. Выполнена из дышащего полотна на основе текстурных волокон льна, придающих полотну неповторимый узор, с добавлением прочного полиэстера, мягкой вискозы и эластана, обеспечающего не сковывающую движения посадку. Модель прямого силуэта, с притачным поясом с двойными шлевками и длинной тесьмой-ремешком из основного материала. Элегантная модель дополнит городской образ любой сложности."
Легкая куртка со льном ELIS,"
                9 999 ₽            ","Актуальная лёгкая куртка насыщенного лимонного оттенка выполнена из лёгкого дышащего полотна. Благородный лён в составе поддерживает комфортную температуру, а мягкая вискоза не препятствует циркуляции воздуха. Модель прямого силуэта с кулиской по низу, умеренного объёма, со спущенной линией плеча, втачным рукавом с эластичным манжетом, центральной застёжкой на контрастные пуговицы и такими же пуговицами на накладных карманах с клапанами. Составит однотонный тотал-лук с комфортными брюками из того же материала."
Брюки укороченные со льном ELIS,"
                6 999 ₽            ","Трендовые укороченные брюки насыщенного лимонного оттенка выполнены из лёгкого дышащего полотна. Благородный лён в составе поддерживает комфортную температуру, а мягкая вискоза не препятствует циркуляции воздуха. Модель прямого силуэта, умеренного объёма, притачным поясом  с комфортной резинкой и боковыми карманами. Составят актуальный тотал-лук с рубашкой оверсайз или легкой блузой."
Легкое платье-миди из вискозы ELIS,"
                7 999 ₽            ","Лёгкое платье-миди деликатного фиалкового оттенка с чуть удлиненным сзади подолом. Выполнено из фактурного летящего полотна на основе дышащей вискозы премиального качества. Модель А-силуэта, с круглой горловиной, без рукавов, с потайной застёжкой на пуговицы спереди, декорированной монилью. В комплекте контрастный пояс-акцент на талии, формирует изящный силуэт и обеспечивает комфортную посадку. Образ можно дополнить актуальными открытыми босоножками или классическими лодочками."
Легкое платье-миди из вискозы ELIS,"
                7 999 ₽            ","Элегантное платье-миди светло-голубого оттенка с чуть удлиненным сзади подолом. Выполнено из фактурного летящего полотна на основе дышащей вискозы премиального качества. Модель А-силуэта, с круглой горловиной, без рукавов, с потайной застёжкой на пуговицы спереди, декорированной монилью. В комплекте контрастный пояс-акцент на талии, формирует изящный силуэт и обеспечивает комфортную посадку. Образ можно дополнить актуальными открытыми босоножками или классическими лодочками."
Платье-рубашка со льном ELIS,"
                7 999 ₽            ","Актуальное платье рубашечного кроя оттенка экрю с авторским принтом в контрастную вертикальную полоску. Выполнен из лёгкого материала на основе мягкой и дышащей вискозы, с добавлением льняных волокон, для создания неповторимой текстуры. Модель прямого силуэта, со стояче-отложным воротником, спущенной линией плеча, длинным втачным рукавом с манжетом на пуговице, центральной застёжкой на пуговицы в тон изделию и неглубокими разрезами на подоле. Широкий пояс-лента из основного материала выгодно подчёркивает талию и обеспечивает комфортную посадку. Образ можно дополнить мюлями, босоножками или кедами. "
Вязаная блуза с люрексом ELIS,"
                3 999 ₽            ","Фактурная вязаная блуза в желто-белой гамме в горизонтальный рубчик. Выполнена из мягкой пряжи на основе хлопка, дышащий материал слегка тянется, обеспечивая комфортную посадку. Модель прямого силуэта, среднего объёма, с оригинальными кулисками в плечевых швах, V-образной горловиной с подвязом и удобной резинкой по низу изделия. Универсальная блуза дополнит как лук в стиле кэжуал, так и нестрогий деловой образ."
Юбка-миди с кулиской ELIS,"
                5 999 ₽            ","Актуальная юбка-миди из белоснежного летящего полотна. Легкая хлопковая подкладка приятна к коже и не препятсвует циркуляции воздуха. Модель прямого силуэта, увеличенного объёма, длиной до середины икры. Притачной пояс-резинка с регулирующейся кулиской со шнурком обеспечивает удобную посадку на любой тип фигуры. Лаконичная юбка станет основой ваших городских образов, легко дополнить как кедами, так и открытыми босоножками."
Вязаная блуза с люрексом ELIS,"
                3 999 ₽            ","Лаконичная вязаная блуза в лавандово-белой гамме в горизонтальную полоску. Выполнена из мягкой пряжи на основе хлопка. Модель прямого силуэта, среднего объёма, с оригинальными кулисками в плечевых швах, V-образной горловиной с подвязом и удобной резинкой по низу изделия. Универсальная блуза дополнит как лук в стиле кэжуал, так и нестрогий деловой образ."
Легкий жакет из хлопка и льна ELIS,"
                11 999 ₽            ","Однобортный жакет сдержанного серого оттенка с авторским принтом ""клетка тартан"". Выполнен из миксового полотна на основе легких мягких хлопковых волокон и благородного льна, подкладка из органического хлопка. Модель прямого силуэта, умеренного объема, со стояче-отложным воротником с лацканами, втачными рукавами, центральной застёжкой на одну пуговицу и прорезными карманами с клапанами. Составит однотонный тотал-лук с брюкам из того же материала."
Брюки повседневные со льном ELIS,"
                6 999 ₽            ","Комфортные укороченные брюки деликатного серого оттенка с авторским принтом ""клетка тартан"". Выполнены из миксового полотна на основе легких мягких хлопковых волокон и благородного льна. Модель прямого силуэта, умеренного объема. Эластичный пояс с регулируемой кулиской обесречивает удобную посадку по фигуре. Составят однотонный тотал-лук с однобортным жакетом из того же материала."
Куртка льняная рубашечного кроя ELIS,"
                8 999 ₽            ","Куртка рубашечного кроя деликатного светло-серого оттенка выполнена из лёгкого дышащего полотна. Благородный лён в составе поддерживает комфортную температуру, а мягкая вискоза не препятствует циркуляции воздуха. Модель прямого силуэта, увеличенного объёма, с отложным воротником со стойкой, втачными рукавами с манжетами, накладными карманами на груди и центральной застёжкой на контрастные пуговицы. Составит однотонный тотал-лук с укороченными брюками из того же материала."
Футболка с принтом ELIS,"
                3 499 ₽            ","Легкая футболка лимонного оттенка с дизайнерским принтом с флористическим мотивом на груди. Хлопок в составе не препятствует циркуляции воздуха, эластичный спандекс отвечает за комфортную посадку по фигуре. Модель прямого силуэта, умеренного обьема, с чуть спущенной линией плеча и круглой горловиной обработанной бейкой. Универсальную футболку можно сочетать с джинсами, легкими брюками или юбками-миди."
Брюки укороченные со льном ELIS,"
                6 999 ₽            ","Актуальные укороченные брюки деликатного светло-серого оттенка выполнены из лёгкого дышащего полотна. Благородный лён в составе поддерживает комфортную температуру, а мягкая вискоза не препятствует циркуляции воздуха. Модель прямого силуэта, умеренного объёма, с небольшим заужением к низу, притачным поясом с комфортной резинкой и боковыми карманами. Составят однотонный тотал-лук с легкой курткой-рубашкой из того же материала."
Футболка с принтом ELIS,"
                3 499 ₽            ","Базовая футболка светло-голубого оттенка с авторским принтом на груди. Хлопок в составе не препятствует циркуляции воздуха, эластичный спандекс отвечает за комфортную посадку по фигуре. Модель прямого силуэта, умеренного обьема, с чуть спущенной линией плеча и круглой горловиной обработанной бейкой. Универсальную футболку можно сочетать с джинсами, легкими брюками или юбками-миди."
Платье изо льна с цветочным принтом ELIS,"
                8 999 ₽            ","Лёгкое платье-миди из тонкого льняного полотна с цветочным рисунком. Материал обеспечивает максимальный комфорт и приятен к телу. Эффектная модель на запах, с короткими рукавами-фонариками, присобранными на резинку, изящным V-образным вырезом горловины и удобной застёжкой на пуговицы с планкой. Линию талии подчёркивает потайной пояс-лента на завязках из того же материала в тон. Платье можно носить как с белыми кедами, так и открытой обувью на каблуке."
Джинсовая куртка ELIS,"
                11 999 ₽            ","Стильная джинсовая куртка из мягкого хлопкового денима изысканного брусничного оттенка. Короткая модель прямого свободного кроя, с длинными рукавами с манжетами на крупной кнопке, отложным воротником, двумя нагрудными накладными карманами с застегивающимися клапанами и удобной застёжкой на крупные кнопки в тон. Благодаря однотонному оттенку изделия его легко сочетать с цветными вещами с рисунком. Куртка будет элегантно смотреться в комплекте с джинсами из той же капсулы."
Джинсы из эластичного денима ELIS,"
                5 999 ₽            ","Джинсы прямые насыщенного розового оттенка. Выполнены из хлопкового денима премиального качества, плотный легкий материал отлично тянется, обеспечивая комфортную посадку по фигуре. Модель прямого кроя, с притачным поясом со шлевками под ремень, боковыми карманами и часовым карманом спереди, и накладными американскими сзади. Джинсы дополнят образ в стиле кэжуал, легко сочетать с базовыми футболками или легкими топами."
Вязаный топ ELIS,"
                3 999 ₽            ","Вязаная блуза базового белого цвета с вывязанным рисунком на груди. Выполнена из мягкой фирменной пряжи на основе хлопка. Модель прямого силуэта, среднего объёма, без рукавов, с комфортной резинкой в рубчик по низу изделия и элегантной горловиной лодочкой. Универсальная модель дополнит лук в стиле кэжуал или нестрогий деловой образ."
Вязаная блуза с пайетками ELIS,"
                5 999 ₽            ","Фактурная вязаная блуза базового белого цвета с пайетками. Выполнена из мягкой хлопковой пряжи премиального качества. Модель полуприлегающего силуэта, среднего объёма, со спущенной линией плеча и подвязом в рубчик по круглой горловине, низу изделия и манжетам. Универсальная блуза отлично впишется в повседневный гардероб."
Футболка в полоску ELIS,"
                3 999 ₽            ","Актуальная футболка в полоску с авторским набивным принтом на груди. Выполнена из мягкого материала на основе дышащей вискозы и эластичных волокон, отвечающих за несковывающую движений посадку. Модель прямого силуэта, со спущенной линией плеча, втачным рукавом и круглой горловиной, обработанной бейкой. Базовую футболку легко сочетать с джинсами, брюками или юбками."
Платье-миди без рукавов ELIS,"
                7 999 ₽            ","Изящное платье-миди серого цвета с контрастным чёрным принтом с флористическим паттерном, выполнено из лёгкого струящегося полотна. Модель А-силуэта, без рукавов, с круглой горловиной и широким ремнём-акцентом на талии обтянутым основным материалом. Комфортный крой и вытачки по спинке формируют удачную посадку. Платье дополненное трендовыми мюлями составят актуальный повседневный лук, с классическими лодочками - образ для выхода в свет."
Вязаный топ ELIS,"
                3 999 ₽            ","Вязаная блуза насыщенного бирюзового оттенка с вывязанным рисунком на груди. Выполнена из мягкой фирменной пряжи на основе хлопка. Модель прямого силуэта, среднего объёма, без рукавов, с комфортной резинкой в рубчик по низу изделия и элегантной горловиной лодочкой. Универсальная модель дополнит лук в стиле кэжуал или нестрогий деловой образ."
Джинсы прямые серые ELIS,"
                5 999 ₽            ","Трендовые джинсы ""5 карманов"" с необработанным краем и разрезами по низу. Выполнены из светло-серого фирменного денима на основе хлопка с добавлением эластана, обеспечиващего не сковывающую движений посадку. Модель прямого силуэта, с притачным поясом со шлевками под ремень, боковыми карманами и часовым карманом спереди, и накладными американскими сзади. Джинсы в стиле кэжуал легко дополнить принтованными футболками или легкими топами."
Комбинезон фуксия ELIS,"
                8 999 ₽            ","Эффектный комбинезон насыщенного оттенка фуксия. Выполнен из дышащего материала премиального качества на основе хлопка. Модель прямого силуэта, на широких бретелях, с квадратным вырезом горловины, вырезом по спинке и широкими брюками-кюлотами. Комфортная резинка подчёркивает талию и создаёт утонченный силуэт - песочные часы. Образ можно дополнить актуальными молями на каблуке или открытыми босоножками."
Комбинезон черный ELIS,"
                8 999 ₽            ","Элегантный комбинезон базового чёрного цвета. Выполнен из дышащего материала премиального качества на основе хлопка. Модель прямого силуэта, на широких бретелях, с квадратным вырезом горловины, вырезом по спинке и широкими брюками-кюлотами. Комфортная резинка подчёркивает талию и создаёт утонченный силуэт - песочные часы. Образ можно дополнить актуальными молями на каблуке или открытыми босоножками."
Легкий блейзер с поясом ELIS,"
                8 999 ₽            ","Однобортный жакет графитового оттенка с фирменным принтом ""polka-dot"". Выполнен из миксовой костюмной ткани на основе мягкого хлопка, прочных поливолокон и дышащей вискозы. Модель прямого кроя, с коротким втачным рукавом, стояче-отложным воротником с заострёнными лацканами и накладными карманами с фигурными клапанами. Идущий в комплекте пояс-лента из того же материала подчёркивает талию и формирует утонченный силуэт. Составят однотонный тотал-лук в стиле смарт кэжуал с брюками со стрелками или юбкой из того же материала."
Юбка А-силуэта ELIS,"
                5 999 ₽            ","Элегантная юбка графитового оттенка с фирменным принтом ""polka-dot"". Выполнена из миксовой костюмной ткани на основе мягкого хлопка, прочных поливолокон и дышащей вискозы. Модель А-силуэта с притачным поясом со шлевками под ремень, карманами спереди и застёжкой на потайную молнию. Лёгкие драпировки по подолу формируют утонченный женственный силуэт. Составит однотонный тотал-лук в стиле смарт кэжуал с жакетом из того же материала."
Футболка с принтом ELIS,"
                2 999 ₽            ","Белоснежная футболка с дизайнерским принтом, декорированным паетками. Выполнена из легкого миксового трикотажа на основе дышащей вискозы, с добавлением прочных поливолокон и эластана. Модель прямого силуэта, с коротким цельнокроеным рукавом и круглой горловиной, обработанной бейкой. Универсальная футболка с оригинальным декором дополнит повседневный образ любой сложности."
Брюки прямые костюмные ELIS,"
                6 499 ₽            ","Лаконичные брюки графитового оттенка с фирменным принтом ""polka-dot"". Выполнены из миксовой костюмной ткани на основе мягкого хлопка, прочных поливолокон и дышащей вискозы. Модель прямого силуэта, с притачным поясом со шлевками под ремень, карманами с отрезным бочком и моделирующими вытачками сзади. Графичные заутюженные стрелки выстраивают вертикаль визуально вытягивающую силуэт. Составят однотонный тотал-лук в стиле смарт кэжуал с жакетом из того же материала."
Футболка с капюшоном ELIS,"
                4 999 ₽            ","Актуальная белоснежная футболка с капюшоном. На груди авторская вышивка. Выполнена из мягкого хлопкового трикотажа, дыщаший материал приятен к коже и комфортно тянется. Модель прямого силуэта, умеренного объема, с цельнокроеным рукавом и удобным регулируемым капюшоном со шнурком. Составит актуальный тотал-лук с шортами из того же материала."
Шорты спортивные ELIS,"
                4 999 ₽            ","Трендовые спортивные шорты базового белого цвета. Выполнены из легкого дышащего трикотажа на основе хлопка, с добавлением прочных поливолокон. Модель прямого кроя, увеличенного объёма, с эластичным поясом на резинке и боковыми карманами с отрезным бочком. Составят актуальный тотал-лук с футболкой с капюшоном из того же материала."
Легкий бомбер из трикотажа ELIS,"
                6 999 ₽            ","Бомбер на молнии белого цвета декорирован монилью. Выполнен из легкого дышащего трикотажа на основе хлопка с добавлением прочных поливолокон. Модель прямого кроя, с центральной застёжкой на тесьму-молнию, коротким рукавом и боковыми карманами. С брюками с отворотами из того же материала составят однотонный тотал-лук для путешествий или прогулок на свежем воздухе."
Брюки спортивные с отворотами ELIS,"
                6 999 ₽            ","Лаконичные брюки с отворотами универсального белого цвета. Выполнены из легкого дышащего трикотажа на основе хлопка, с добавлением прочных поливолокон. Модель прямого кроя, с эластичным поясом на резинке с регулируемой кулиской и боковыми карманами с отрезным бочком. С бомбером из того же материала составят однотонный тотал-лук для путешествий или прогулок  на свежем воздухе."
Платье прямое с V-вырезом на спине ELIS,"
                6 999 ₽            ","Платье универсального чёрного цвета с контрастным дизайнерским принтом с флористическим мотивом на груди. Выполнено из лёгкого трикотажа на основе дышащей вискозы и прочных нейлоновых волокон. Модель прямого кроя с коротким цельнокроеным рукавом, эффектным V-образным вырезом сзади и неглубоким разрезом на подоле. Платье в стиле кэжуал легко дополнить мюлями, босоножками или кроссовками."
Платье-миди из вискозы ELIS,"
                5 999 ₽            ","Платье-миди базового черного цвета выполнено из лёгкого миксового материала на основе дышащий вискозы и эластичного нейлона. Модель прямого силуэта, с круглым вырезом горловины, эффектным разрезом и V-образным вырезом сзади. Свободный крой обеспечивает комфортную посадку на любой тип фигуры. Образ можно дополнить открытыми босоножками или классическими лодочками."
Платье-миди из вискозы ELIS,"
                5 999 ₽            ","Платье средней длины зеленого оттенка. Без рукавов, с круглым вырезом и неглубоким разрезом. Платье прямого кроя. Отличный выбор для создания повседневного летнего образа."
Юбка-карандаш прямая ELIS,"
                4 999 ₽            ",Прямая юбка-карандаш. Карманы с клапанами. Застежка на гульфик. Спереди шлица.
Платье-комбинация из вискозы ELIS,"
                6 999 ₽            ","Струящееся белоснежное платье-комбинация с контрастным принтом. Выполнено из гладкой дышащей вискозы, лёгкий материал приятен к коже и почти не ощущается. Модель прямого силуэта, на тонких бретелях, с V-образным вырезом горловины и нагрудными вытачками, обеспечивающими удачную посадку. Образ можно дополнить открытыми босоножками или мюлями на каблуке."
Платье-миди розовое из вискозы LALIS,"
                7 999 ₽            ","Лаконичное платье-миди насыщенного розового оттенка выполнено из гладкого вискозного полотна. Модель А-силуэта, с цельнокроёным рукавом с защипом и манжетом, отложным воротником, неглубоким V-образным вырезом и центральной застёжкой на планку с пуговицами. Образ можно дополнить поясом-лентой из основного материала, сделав акцент на линии талии. Платье легко сочетать с босоножками или кедами."
Блуза с поясом LALIS,"
                5 999 ₽            ","Свободная блуза с коротким цельнокроенным рукавом с подворотом из мягкой экологичной вискозы гладкого плетения. Силуэт формируется при помощи тонкого пояса из основной ткани изделия. Блузу можно запахнуть или надеть вместе с облегающим топом. Женственности добавляет фантазийный растительный узор в сиренево-фиолетовых тонах. Застегивается на планку с пуговицами, по бокам разрезы. Блуза сочетается со свободной юбкой-миди из той же капсулы, а также подходит под неформальные брюки и обувь на каблуке."
Жакет малиновый со льном LALIS,"
                11 999 ₽            ","Однобортной жакет насыщенного малинового оттенка выполнен из смесового льна премиального качества. Модель прямого кроя, со стояче-отложным воротником с лацканами, втачным рукавом с манжетом и центральной застёжкой на пуговицы. Пояс-лента из основного материала подчёркивает линию талии и формирует изящный силуэт. С брюками или юбкой из той же коллекции составят однотонный тотал-лук в стиле смарт кэжуал."
Топ базовый из трикотажа LALIS,"
                2 999 ₽            ","Минималистичный топ прямого облегающего силуэта с фигурным круглым вырезом в белом цвете. Модель из эластичного материала на основе хлопка и модала, на широких цельнокроеных бретелях, без застежки. Базовая вещь гардероба. Универсально подходит под пиджаки, жакеты и брючные костюмы, а также сочетается со свободными рубашками и джинсами."
Юбка на запах со льном LALIS,"
                5 999 ₽            ","Легкая юбка насыщенного малинового оттенка выполнены из смесового льна премиального качества. Модель А-силуэта, на запах с двумя пуговицами спереди, длиной чуть ниже колена. Комфортная посадка делает юбку удачным выбором для любого типа фигуры. Составит однотонный тотал-лук в стиле смарт кэжуал с жакетом из той же коллекции."
Брюки прямые со льном LALIS,"
                7 999 ₽            ","Комфортные брюки насыщенного малинового оттенка выполнены из смесового льна премиального качества. Модель прямого кроя, с притачным поясом со шлевками под ремень и резинкой по спинке, по бокам косые карманы. С однобортным жакетом из этой же коллекции составят однотонный тотал-лук в стиле смарт кэжуал."
Блуза из вискозы LALIS,"
                5 999 ₽            ","Лаконичная блуза оттенка оптический белый выполнена из тончайшего полотна на основе модифицированной вискозы. Невесомый материал чуть просвечивает, блузу удобно сочетать с базовым топом. Модель прямого силуэта, с небольшим воротником стойкой, длинным цельнокроеным рукавом с манжетом и центральной застёжкой на пуговицы. Лёгкая блуза дополнит городской образ любой сложности."
Топ базовый из трикотажа LALIS,"
                2 999 ₽            ","Минималистичный топ прямого облегающего силуэта с фигурным круглым вырезом в нежно-голубом цвете. Модель из эластичного материала на основе хлопка и модала, на широких цельнокроеных бретелях, без застежки. Базовая вещь гардероба. Универсально подходит под пиджаки, жакеты и брючные костюмы, а также сочетается со свободными рубашками и джинсами."
Брюки прямые из хлопка LALIS,"
                6 999 ₽            ","Комфортные прямые брюки желтого цвета выполнены из эластичного хлопкового полотна. Лёгкий дышащий материал с добавлением эластана обеспечивает не сковывающую движений посадку. Модель прямого силуэта, с косыми карманами, притачным поясом со шлевками под ремень и резинкой по спинке, с моделирующмими вытачками и имитацией кармана с листочкой сзади. Повседневные брюки удачно впишутся в базовый гардероб."
Футболка трикотажная в полоску LALIS,"
                3 499 ₽            ","Фтболка в морском стиле в бело-жёлтой гамме с фирменной вышивкой на груди. Выполнена из эластичного трикотажа на основе вискозы. Модель прямого силуэта, с втачным рукавом и круглой горловиной, обработанной бейкой. Повседневная футболка дополнит как городской образ, так и расслабленный отпускной лук."
Футболка трикотажная в полоску LALIS,"
                3 499 ₽            ","Футболка в морском стиле в сине-белой гамме с фирменной вышивкой на груди. Выполнена из лёгкого эластичного трикотажа на основе вискозы. Модель прямого силуэта, с втачным рукавом и круглой горловиной, обработанной бейкой. Лаконичная футболка дополнит как городской образ, так и расслабленный отпускной лук."
Футболка из хлопка с принтом LALIS,"
                3 499 ₽            ","Лёгкая футболка нежно-розового оттенка с анималистичным авторским принтом на груди. Выполнена из фирменного трикотажа на основе дышащего хлопка. Модель прямого силуэта, с коротким втачным рукавом и круглой горловиной, обработанной бейкой. Универсальная футболка отлично впишется в повседневный гардероб."
Футболка из хлопка с принтом LALIS,"
                3 499 ₽            ","Футболка белого цвета с анималистичным авторским принтом на груди. Выполнена из фирменного трикотажа на основе дышащего хлопка. Модель прямого силуэта, с коротким втачным рукавом и круглой горловиной, обработанной бейкой. Универсальная футболка отлично впишется в повседневный гардероб."
Легкий жакет на пуговицах LALIS,"
                9 999 ₽            ","Укороченный жакет выполнен из миксового материала на осносве прочного полиэстера, дышащего хлопка, мягкой вискозы и текстурных льняных волокон. Модель прямого силуэта, с отложным воротником с полустойкой, спущенной линией плеча, укороченными рукавами, карманами в швах и притачным поясом по низу изделия. Спинка с кокеткой, с лёгким защипом и сборкой по низу. Составит однотонный тотал-лук в стиле смарт кэжуал с брюками или юбкой-миди из этой же коллекции."
Блуза из вискозы с принтом LALIS,"
                5 999 ₽            ","Лёгкая блуза с авторским набивным принтом в молочно-зелёной гамме. Блуза выполнена из натуральной ткани на основе вискозы с добавлением льняных волокон. Модель прямого силуэта, с цельнокроеным укороченным рукавом и атласной тонкой планкой по круглой горловине. Свободный крой обеспечивает комфортную посадку на любой тип фигуры. Блуза в сочетании с брюками-палаццо из этой же коллекции составит однотонный тотал-лук для городских прогулок или отпуска."
Платье-рубашка из хлопка LALIS,"
                7 999 ₽            ","Актуальное платье-рубашка длины миди терракотового оттенка выполнено из хлопкового полотна премиального качества. Модель прямого силуэта, с отложным воротником, цельнокроёным рукавом, центральной застёжкой на пуговицы и карманами в боковых швах. На полочке - карманы с клапанами на груди, декорированными монилью. Съёмный пояс-лента из основного материала выгодно подчёркивает линию талии. Образ можно дополнить обувью на каблуке или кедами."
Рубашка с принтом LALIS,"
                7 999 ₽            ","Рубашка в коричнево-зелёнойгамме с дизайнерским флористическим принтом. Выполнена из лёгкой хлопковой ткани премиального качества. Модель прямого силуэта, со стояче-отложным воротником, объёмными рукавами с защипами и манжетами, с центральной застёжкой на пуговицы и накладным карманом на груди. Легкая рубашка дополнит как городской лук, так и нестрогий офисный образ."
Юбка А-силуэта с пуговицами LALIS,"
                5 999 ₽            ","Юбка-миди актуального зелёного цвета. Выполнена из миксового материала на осносве прочного полиэстера, дышащего хлопка, мягкой вискозы и текстурных льняных волокон. Модель А-силуэта, с обтачным поясом, застёжкой на молнию сбоку и декоративной планкой с пуговицами спереди. Комфортная посадка делает юбку удачным выбором для любого типа фигуры. Составит однотонный тотал-лук в стиле смарт кэжуал с жакетом из того же материала."
Брюки укороченные со стрелками LALIS,"
                7 999 ₽            ","Легкие брюки с застроченными стрелками натурального зеленого цвета. Выполнены из миксового материала на осносве прочного полиэстера, дышащего хлопка, мягкой вискозы и текстурных льняных волокон. Модель прямого силуэта, с притачным поясом со шлевками под ремень и небольшими разрезами по бокам снизу. Графичные стрелки выстраивают вертикаль, визуально вытягивающую силуэт. Составят однотонный тотал-лук в стиле смарт кэжуал с жакетом из того же материала."
Платье-миди льняное с V-вырезом LALIS,"
                8 999 ₽            ","Изящное платье-миди выполнено из натурального льна премиального качества. Модель А-силуэта, с фигурным подрезом под грудью, неглубоким V-образным вырезом горловины и коротким цельнокроёным рукавом. Встречная складка от линии талии спереди формирует лёгкие драпировки. Образ можно дополнить открытыми босоножками или классическими лодочками."
Рубашка льняная белая LALIS,"
                7 499 ₽            ","Свободная белая рубашка выполнена из льняного полотна премиального качества. Модель прямого силуэта, со спущенной линией плеча, длинным втачным рукавом с манжетом, стояче-отложным воротником, центральной застёжкой на пуговицы и накладным карманом на груди. Комфортная рубашка дополнит лук в стиле кэжуал или станет альтернативой классической блузе для нестрого офисного образа."
