Name,Price,Descriptions
Вязаная блуза с V-вырезом ELIS,"
                4 999 ₽            ","Стильная вязаная блуза из объемной пряжи на основе хлопка персикового цвета. Модель полуприлегающего силуэта, с V-образной горловиной, цельновязаным рукавом и комфортным поясом по низу изделия. По горловине и центру изделия располагается фактурная отделка с особым переплетением нитей. Блуза универсально сочетается с просторной одеждой в светлых тонах: юбками-макси и миди, широкими длинными брюками и обувью на плоской подошве."
Вязаная блуза с V-вырезом ELIS,"
                4 999 ₽            ","Вязаная блуза оттенка экрю выполнена из фирменной пряжи на основе длинноволокнистого хлопка. Модель полуприлегающего силуэта, с V-образной горловиной, цельновязаным рукавом и комфортным поясом по низу изделия. По горловине и центру изделия располагается фактурная отделка с особым переплетением нитей. Легкая блуза дополнит как лук в стиле кэжуал, так и нестрогий деловой лук."
Укороченная рубашка из вискозы ELIS,"
                4 999 ₽            ","Укороченная рубашка нежного лавандового оттенка. Выполнена из гладкого вискозного полотна, лёгкий материал приятен к коже и не препятствует циркуляции воздуха. Модель прямого силуэта, с отложным воротником, спущенной линией плеча и проймой, свободным втачным рукавом и центральной застёжкой на планку с пуговицами. По низу изделия по бокам резинка. Составит однотонный тотал-лук с юбкой на запах из той же ткани."
Топ трикотажный ELIS,"
                2 499 ₽            ","Минималистичный топ прямого облегающего силуэта с фигурным широким вырезом в пастельно-лавандовом оттенке. Топ из вискозного трикотажа, на широких цельнокроеных бретелях, без застежки. Базовая вещь гардероба. Универсально эффектно подходит под пиджаки, жакеты и брючные костюмы, а также сочетается со свободными рубашками и джинсами."
Брюки с накладными карманами ELIS,"
                5 999 ₽            ","Стильные укороченные брюки свободного кроя, стилизованные под силуэт “карго”, с двумя накладными карманами спереди и одним сзади. Модель из 100% плотного хлопка светло-бежевого оттенка. Сзади на талии для идеальной посадки выполнены вытачки. Силуэт позволяет сочетать брюки с кроссовками и обувью на каблуке, а также пиджаками оверсайз."
Топ трикотажный ELIS,"
                2 499 ₽            ","Минималистичный топ прямого облегающего силуэта с фигурным широким вырезом в белом цвете. Топ из вискозного трикотажа, на широких цельнокроеных бретелях, без застежки. Базовая вещь гардероба. Универсально эффектно подходит под пиджаки, жакеты и брючные костюмы, а также сочетается со свободными рубашками и джинсами."
Платье-комбинация из вискозы ELIS,"
                6 999 ₽            ","Эффектное платье-комбинация нежного лилового оттенка. Выполнено из гладкого полотна на основе вискозы премиального качества, невесомый материал почти не ощущается на коже. Модель прямого силуэта, длины миди, с квадратным вырезом горловины, тонкими бретелями с бельевыми фиксаторами сзади и горизонтальной декоративной лямкой на спинке. Утончённое платье можно дополнить актуальными босоножками или классическими лодочками."
Блузка с капюшоном ELIS,"
                4 999 ₽            ","Комфортная блуза оттенка горький шоколад выполнена из лёгкого вискозного полотна. Дышащий материал приятен к коже и почти не мнётся. Модель прямого силуэта, с коротким цельнокроеным рукавом и металлической тесьмой-молнией до линии груди. Завершает дизайн удобный капюшон, функциональная деталь защитит от солнца или ветра. С шортами-бермудами из того же материала составит однотонный тотал-лук для прогулок на природе или отпуска."
Шорты-бермуды на резинке ELIS,"
                4 999 ₽            ","Повседневные шорты-бермуды оттенка горький шоколад выполнены из лёгкого вискозного полотна. Дышащий материал приятен к коже и почти не мнется. Модель прямого силуэта, с притачным поясом с эластичной резинкой и декоративными шнурками. Свободный крой обеспечивает комфортную посадку на любой тип фигуры. С блузой из того же материала составят однотонный тотал-лук для прогулок на природе или отпуска."
Футболка с V-вырезом ELIS,"
                3 499 ₽            ","Свободная футболка прямого силуэта из мягкого хлопка плотного гладкого плетения. Модель в пастельно-розовом оттенке с просторным цельнокроенным коротким рукавом. В сочетании с V-образным вырезом создается плавный силуэт, который будет выгодно подчеркиваться жакетом. Спереди вырез декорирован монилью. Модель сочетается со свободными брюками и шортами."
